id,plan,billing,model,model_display,vendor,label,price_usd,monthly_yi,real_usd_per_mtok,list_blended_usd_per_mtok,d,confidence,tier,source,note,arena_code__score,arena_code__variant,arena_agent_mode__score,arena_agent_mode__variant,aa_intelligence_index__score,aa_intelligence_index__variant,aa_coding_agent_index__score,aa_coding_agent_index__variant
opencode_go::minimax-m3,OpenCode Go,subscription,minimax-m3,MiniMax M3,MiniMax,MiniMax M3 · OpenCode Go,10.0,8.667,0.01154,0.0692,0.1667,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"旧9.072亿（请求估算）→8.667亿：min(共享月池$60, 模型Usage $60) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加",1487,minimax-m3,-3.57,Minimax M3,45,MiniMax-M3,,
opencode_go::minimax-m2.7,OpenCode Go,subscription,minimax-m2.7,MiniMax M2.7,MiniMax,MiniMax M2.7 · OpenCode Go,10.0,8.667,0.01154,0.0692,0.1667,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"新增8.667亿：min(共享月池$60, 模型Usage $60) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加",1398,minimax-m2.7,-10.6,Minimax M2.7,,,,
opencode_go::minimax-m2.5,OpenCode Go,subscription,minimax-m2.5,MiniMax M2.5,MiniMax,MiniMax M2.5 · OpenCode Go,10.0,8.667,0.01154,,,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"新增8.667亿：min(共享月池$60, 模型Usage $60) ÷ MIX加权价；价格/Endpoints 表在列；请求估算表未列。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加",,,,,,,,
opencode_go::muse-spark-1.3-contributor,OpenCode Go,subscription,muse-spark-1.3-contributor,Muse Spark 1.3 Contributor,Muse,Muse Spark 1.3 Contributor · OpenCode Go,10.0,124.392,0.0008,,,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"新增124.392亿：min(共享月池$60, 模型Usage $60) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加",,,,,,,,
opencode_go::muse-spark-1.2-contributor,OpenCode Go,subscription,muse-spark-1.2-contributor,Muse Spark 1.2 Contributor,Muse,Muse Spark 1.2 Contributor · OpenCode Go,10.0,124.392,0.0008,,,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"新增124.392亿：min(共享月池$60, 模型Usage $60) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加",,,,,,,,
opencode_go::qwen3.8-max,OpenCode Go,subscription,qwen3.8-max,Qwen3.8 Max,Alibaba,Qwen3.8 Max · OpenCode Go,10.0,0.487,0.20534,,,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"新增0.487亿：min(共享月池$60, 模型Usage $15) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加",,,,,,,,
opencode_go::qwen3.8-flash,OpenCode Go,subscription,qwen3.8-flash,Qwen3.8 Flash,Alibaba,Qwen3.8 Flash · OpenCode Go,10.0,14.629,0.00684,,,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"新增14.629亿：min(共享月池$60, 模型Usage $30) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加",,,,,,,,
opencode_go::qwen3.7-max,OpenCode Go,subscription,qwen3.7-max,Qwen3.7 Max,Alibaba,Qwen3.7 Max · OpenCode Go,10.0,0.528,0.18939,,,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"新增0.528亿：min(共享月池$60, 模型Usage $30) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加",,,,,,,,
opencode_go::qwen3.7-plus,OpenCode Go,subscription,qwen3.7-plus,Qwen3.7 Plus,Alibaba,Qwen3.7 Plus · OpenCode Go,10.0,11.255,0.00888,0.0923,0.0962,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"旧12.461亿（请求估算）→11.255亿：min(共享月池$60, 模型Usage $60) ÷ MIX加权价；≤256K 标价；>256K 档保留在 research variants。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加",,,-2.91,Qwen3.7 Plus,39,Qwen3.7 Plus,38.1218,Claude Code - Qwen3.7 Plus (thinking)
opencode_go::qwen3.6-plus,OpenCode Go,subscription,qwen3.6-plus,Qwen3.6 Plus,Alibaba,Qwen3.6 Plus · OpenCode Go,10.0,8.551,0.01169,,,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"新增8.551亿：min(共享月池$60, 模型Usage $60) ÷ MIX加权价；≤256K 标价；>256K 档保留在 research variants。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加",,,,,,,,
opencode_go::deepseek-v4-pro,OpenCode Go,subscription,deepseek-v4-pro,DeepSeek V4 Pro,DeepSeek,DeepSeek V4 Pro · OpenCode Go,10.0,3.509,0.0285,0.0855,0.3334,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"旧4.318亿（请求估算）→3.509亿：min(共享月池$60, 模型Usage $15) ÷ MIX加权价；Off-Peak；Peak 额度为其一半，保留在 research variants。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加",1582,deepseek-v4-pro-high-20260813,5.91,DeepSeek V4 Pro (High) (0813),53,DeepSeek V4 Pro 0813 (max),42.7797,Codex - DeepSeek V4 Pro 0813 (max)
opencode_go::deepseek-v4-flash,OpenCode Go,subscription,deepseek-v4-flash,DeepSeek V4 Flash,DeepSeek,DeepSeek V4 Flash · OpenCode Go,10.0,21.548,0.00464,0.0278,0.1666,high,main,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"旧27.224亿（请求估算）→21.548亿：min(共享月池$60, 模型Usage $30) ÷ MIX加权价；Off-Peak；Peak 额度为其一半，保留在 research variants。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加",1580,deepseek-v4-flash-high,2.85,Deepseek V4 Flash (High) (20260731),52,DeepSeek V4 Flash 0731 (max),49.7576,Codex - DeepSeek V4 Flash 0731 (max)
opencode_go::deepseek-v4-flash-vision-exp,OpenCode Go,subscription,deepseek-v4-flash-vision-exp,DeepSeek V4 Flash Vision Exp,DeepSeek,DeepSeek V4 Flash Vision Exp · OpenCode Go,10.0,10.774,0.00928,,,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"新增10.774亿：min(共享月池$60, 模型Usage $15) ÷ MIX加权价；Off-Peak；图像另折 input token，不另编图像 mix。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加",,,,,,,,
opencode_go::hy4-preview,OpenCode Go,subscription,hy4-preview,Hy4 preview,Tencent,Hy4 preview · OpenCode Go,10.0,4.422,0.02261,0.0678,0.3332,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"旧4.917亿（请求估算）→4.422亿：min(共享月池$60, 模型Usage $30) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加",1621,hy4-preview,5.97,Hy4 preview,,,,
opencode_go::hy3,OpenCode Go,subscription,hy3,Hy3,Tencent,Hy3 · OpenCode Go,10.0,15.306,0.00653,0.0107,0.6104,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"新增15.306亿：min(共享月池$60, 模型Usage $60) ÷ MIX加权价；官网单档。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加",1512,hy3,-1.51,Hy3,42,Hy3,,
opencode_go::omen-alpha,OpenCode Go,subscription,omen-alpha,Omen Alpha,OpenCode,Omen Alpha · OpenCode Go,10.0,13.141,0.00761,,,high,full,https://opencode.ai/docs/go/ 官方每模型 Usage 与三段价格；opencode-go-round5-2026-09-06.json,"新增13.141亿：min(共享月池$60, 模型Usage $100) ÷ MIX加权价；模型 Usage $100，但共享月池 $60 先绑定。官方请求数仅作交叉检查，不再作为额度主值；同套餐各模型额度不可相加",,,,,,,,
chatgpt_plus::gpt-5.6-terra,ChatGPT Plus,subscription,gpt-5.6-terra,GPT 5.6 Terra,OpenAI,GPT 5.6 Terra · ChatGPT Plus,20.0,12.01,0.01665,0.2807,0.0593,medium,full,由同套餐 gpt-5.6-sol 6.16 亿 × 1.949696798690718,"https://learn.chatgpt.com/docs/pricing 三段credits（cache/input/output）Sol=10/100/500，对比(5, 50, 300)；旧倍率2、旧月额度12.32亿作废；保留Sol基准，按实测mix重算；见audit-round4-2026-09-05.json",1520,gpt-5.6-terra-xhigh (codex-harness),3.01,GPT 5.6 Terra (xHigh),57,GPT-5.6 Terra (max),60.4201,Codex - GPT-5.6 Terra (max)
chatgpt_plus::gpt-5.6-luna,ChatGPT Plus,subscription,gpt-5.6-luna,GPT 5.6 Luna,OpenAI,GPT 5.6 Luna · ChatGPT Plus,20.0,120.101,0.00167,0.0281,0.0595,medium,main,由同套餐 gpt-5.6-sol 6.16 亿 × 19.49696798690718,"https://learn.chatgpt.com/docs/pricing 三段credits（cache/input/output）Sol=10/100/500，对比(0.5, 5, 30)；旧倍率20、旧月额度123.2亿作废；保留Sol基准，按实测mix重算；见audit-round4-2026-09-05.json",1519,gpt-5.6-luna-xhigh (codex-harness),2.15,GPT 5.6 Luna (xHigh),52,GPT-5.6 Luna (max),57.1661,Codex - GPT-5.6 Luna (max)
chatgpt_plus::gpt-5.5,ChatGPT Plus,subscription,gpt-5.5,GPT 5.5,OpenAI,GPT 5.5 · ChatGPT Plus,20.0,4.804,0.04163,0.7017,0.0593,medium,main,由同套餐 gpt-5.6-sol 6.16 亿 × 0.7798787194762872,"https://learn.chatgpt.com/docs/pricing 三段credits（cache/input/output）Sol=10/100/500，对比(12.5, 125, 750)；旧倍率0.8、旧月额度4.928亿作废；保留Sol基准，按实测mix重算；见audit-round4-2026-09-05.json",1510,gpt-5.5-xhigh (codex-harness),7.53,GPT 5.5 (xHigh),56,GPT-5.5,61.0333,Codex - GPT-5.5 (xhigh)
chatgpt_pro_5x::gpt-5.6-terra,ChatGPT Pro 5x,subscription,gpt-5.6-terra,GPT 5.6 Terra,OpenAI,GPT 5.6 Terra · ChatGPT Pro 5x,100.0,60.051,0.01665,0.2807,0.0593,medium,full,由同套餐 gpt-5.6-sol 30.8 亿 × 1.949696798690718,"https://learn.chatgpt.com/docs/pricing 三段credits（cache/input/output）Sol=10/100/500，对比(5, 50, 300)；旧倍率2、旧月额度61.6亿作废；保留Sol基准，按实测mix重算；见audit-round4-2026-09-05.json",1520,gpt-5.6-terra-xhigh (codex-harness),3.01,GPT 5.6 Terra (xHigh),57,GPT-5.6 Terra (max),60.4201,Codex - GPT-5.6 Terra (max)
chatgpt_pro_5x::gpt-5.6-luna,ChatGPT Pro 5x,subscription,gpt-5.6-luna,GPT 5.6 Luna,OpenAI,GPT 5.6 Luna · ChatGPT Pro 5x,100.0,600.507,0.00167,0.0281,0.0595,medium,full,由同套餐 gpt-5.6-sol 30.8 亿 × 19.49696798690718,"https://learn.chatgpt.com/docs/pricing 三段credits（cache/input/output）Sol=10/100/500，对比(0.5, 5, 30)；旧倍率20、旧月额度616亿作废；保留Sol基准，按实测mix重算；见audit-round4-2026-09-05.json",1519,gpt-5.6-luna-xhigh (codex-harness),2.15,GPT 5.6 Luna (xHigh),52,GPT-5.6 Luna (max),57.1661,Codex - GPT-5.6 Luna (max)
chatgpt_pro_5x::gpt-5.5,ChatGPT Pro 5x,subscription,gpt-5.5,GPT 5.5,OpenAI,GPT 5.5 · ChatGPT Pro 5x,100.0,24.02,0.04163,0.7017,0.0593,medium,full,由同套餐 gpt-5.6-sol 30.8 亿 × 0.7798787194762872,"https://learn.chatgpt.com/docs/pricing 三段credits（cache/input/output）Sol=10/100/500，对比(12.5, 125, 750)；旧倍率0.8、旧月额度24.64亿作废；保留Sol基准，按实测mix重算；见audit-round4-2026-09-05.json",1510,gpt-5.5-xhigh (codex-harness),7.53,GPT 5.5 (xHigh),56,GPT-5.5,61.0333,Codex - GPT-5.5 (xhigh)
chatgpt_pro_20x::gpt-5.6-terra,ChatGPT Pro 20x,subscription,gpt-5.6-terra,GPT 5.6 Terra,OpenAI,GPT 5.6 Terra · ChatGPT Pro 20x,200.0,240.203,0.00833,0.2807,0.0297,medium,full,由同套餐 gpt-5.6-sol 123.2 亿 × 1.949696798690718,"https://learn.chatgpt.com/docs/pricing 三段credits（cache/input/output）Sol=10/100/500，对比(5, 50, 300)；旧倍率2、旧月额度246.4亿作废；保留Sol基准，按实测mix重算；见audit-round4-2026-09-05.json",1520,gpt-5.6-terra-xhigh (codex-harness),3.01,GPT 5.6 Terra (xHigh),57,GPT-5.6 Terra (max),60.4201,Codex - GPT-5.6 Terra (max)
chatgpt_pro_20x::gpt-5.6-luna,ChatGPT Pro 20x,subscription,gpt-5.6-luna,GPT 5.6 Luna,OpenAI,GPT 5.6 Luna · ChatGPT Pro 20x,200.0,2402.026,0.00083,0.0281,0.0296,medium,main,由同套餐 gpt-5.6-sol 123.2 亿 × 19.49696798690718,"https://learn.chatgpt.com/docs/pricing 三段credits（cache/input/output）Sol=10/100/500，对比(0.5, 5, 30)；旧倍率20、旧月额度2464亿作废；保留Sol基准，按实测mix重算；见audit-round4-2026-09-05.json",1519,gpt-5.6-luna-xhigh (codex-harness),2.15,GPT 5.6 Luna (xHigh),52,GPT-5.6 Luna (max),57.1661,Codex - GPT-5.6 Luna (max)
chatgpt_pro_20x::gpt-5.5,ChatGPT Pro 20x,subscription,gpt-5.5,GPT 5.5,OpenAI,GPT 5.5 · ChatGPT Pro 20x,200.0,96.081,0.02082,0.7017,0.0297,medium,main,由同套餐 gpt-5.6-sol 123.2 亿 × 0.7798787194762872,"https://learn.chatgpt.com/docs/pricing 三段credits（cache/input/output）Sol=10/100/500，对比(12.5, 125, 750)；旧倍率0.8、旧月额度98.56亿作废；保留Sol基准，按实测mix重算；见audit-round4-2026-09-05.json",1510,gpt-5.5-xhigh (codex-harness),7.53,GPT 5.5 (xHigh),56,GPT-5.5,61.0333,Codex - GPT-5.5 (xhigh)
claude_pro::claude-sonnet-5,Claude Pro,subscription,claude-sonnet-5,Claude Sonnet 5,Anthropic,Claude Sonnet 5 · Claude Pro,20.0,39.7,0.00504,0.2736,0.0184,medium,main,由同套餐 claude-opus-4.8 15.88 亿 × 2.5,标价比 Opus/Sonnet 2.5×,1537,claude-sonnet-5-high,7.51,Claude Sonnet 5 (High),55,Claude Sonnet 5 (max),,
claude_max_20x::claude-sonnet-5,Claude Max 20x (9/14+),subscription,claude-sonnet-5,Claude Sonnet 5,Anthropic,Claude Sonnet 5 · Claude Max 20x (9/14+),200.0,392.5,0.0051,0.2736,0.0186,medium,main,由同套餐 claude-opus-5 157.0 亿 × 2.5,旧200亿→392.5亿，low→medium；157×Opus/Sonnet标价比2.5，9/14永久口径派生，非Sonnet实测；claude-adoption-round6-2026-09-06.json,1537,claude-sonnet-5-high,7.51,Claude Sonnet 5 (High),55,Claude Sonnet 5 (max),,
claude_max_20x::claude-opus-4.8,Claude Max 20x (9/14+),subscription,claude-opus-4.8,Claude Opus 4.8,Anthropic,Claude Opus 4.8 · Claude Max 20x (9/14+),200.0,157.0,0.01274,0.684,0.0186,low,full,由同套餐 claude-opus-5 157.0 亿 × 1.0,旧80亿→157亿；与Opus5同价，9/14永久基准派生；claude-adoption-round6-2026-09-06.json,1563,claude-opus-4-8-high,9.22,Claude Opus 4.8 (High),57.3,Claude Opus 4.8,62.1405,Claude Code - Opus 4.8 (max)
claude_max_20x::claude-fable-5,Claude Max 20x (9/14+),subscription,claude-fable-5,Claude Fable 5,Anthropic,Claude Fable 5 · Claude Max 20x (9/14+),200.0,12.077,0.16561,1.3681,0.1211,low,main,由同套餐 claude-opus-5 157.0 亿 × 0.07692307692307693,旧6.152亿→12.077亿；157×0.5/6.5，不再预舍入倍率；订阅内6.5×权重且限周额度50%，9/14永久口径派生；claude-adoption-round6-2026-09-06.json,1629,claude-fable-5,10.61,Claude Fable 5 (High),62,Claude Fable 5 (with fallback),67.1728,Claude Code - Fable 5 (max) (with fallback)
claude_max_5x::claude-sonnet-5,Claude Max 5x (9/14+),subscription,claude-sonnet-5,Claude Sonnet 5,Anthropic,Claude Sonnet 5 · Claude Max 5x (9/14+),100.0,196.25,0.0051,0.2736,0.0186,low,full,由同套餐 claude-opus-5 78.5 亿 × 2.5,旧89亿→196.25亿；78.5×标价比2.5，9/14永久口径派生；claude-adoption-round6-2026-09-06.json,1537,claude-sonnet-5-high,7.51,Claude Sonnet 5 (High),55,Claude Sonnet 5 (max),,
claude_max_5x::claude-fable-5,Claude Max 5x (9/14+),subscription,claude-fable-5,Claude Fable 5,Anthropic,Claude Fable 5 · Claude Max 5x (9/14+),100.0,9.235,0.10828,1.3681,0.0791,low,full,由同套餐 claude-opus-5 78.5 亿 × 0.11764705882352941,旧4.187亿→9.235亿；78.5×0.5/4.25，不再预舍入倍率；订阅内4.25×权重且限周额度50%，9/14永久口径派生；claude-adoption-round6-2026-09-06.json,1629,claude-fable-5,10.61,Claude Fable 5 (High),62,Claude Fable 5 (with fallback),67.1728,Claude Code - Fable 5 (max) (with fallback)
cursor_ultra::composer-2.5,Cursor Ultra (Standard),subscription,composer-2.5,Composer 2.5,Cursor,Composer 2.5 · Cursor Ultra (Standard),200.0,165.1,0.01211,0.2146,0.0564,medium,main,由同套餐 grok-4.6 64.2 亿 × 2.5716473238221425,Standard：旧257.165亿（Grok100亿基准）→64.2×完整混合倍率2.571647；更早174.246亿基于67.8×2.57；随round6中间值联动，保留促销混杂风险，非实测；见cursor-adoption-round6-2026-09-06.json,,,,,,,38.3008,Cursor CLI - Composer 2.5 Fast
cursor_ultra::grok-4.5,Cursor Ultra,subscription,grok-4.5,Grok 4.5,xAI,Grok 4.5 · Cursor Ultra,200.0,64.2,0.03115,0.357,0.0873,medium,full,由同套餐 grok-4.6 64.2 亿 × 1.0,旧100亿→64.2亿，high→medium继承round6标准基准；Cursor官方models-and-pricing两模型同价，非Grok4.5独立实测；不采用xAI公开API缓存价差；见cursor-adoption-round6-2026-09-06.json,1556,grok-4.5,6.17,Grok 4.5,56,Grok 4.5 (high),64.09,Grok Build - Grok 4.5 (high)
cursor_pro::composer-2.5,Cursor Pro (Standard),subscription,composer-2.5,Composer 2.5,Cursor,Composer 2.5 · Cursor Pro (Standard),20.0,12.087,0.01655,0.2146,0.0771,medium,main,由同套餐 grok-4.6 4.7 亿 × 2.5716473238221425,Standard：官方Cursor三段价混合比；旧12.079亿用舍入倍率2.57，现保留完整精度,,,,,,,38.3008,Cursor CLI - Composer 2.5 Fast
cursor_pro_plus::composer-2.5,Cursor Pro+ (Standard),subscription,composer-2.5,Composer 2.5,Cursor,Composer 2.5 · Cursor Pro+ (Standard),60.0,44.027,0.01363,0.2146,0.0635,low,full,由同套餐 grok-4.6 17.12 亿 × 2.5716473238221425,Standard：旧46.547亿（18.1亿基准）→17.12×完整混合倍率2.571647；随round6的Ultra64.2×800/3000联动，保留跨档与促销混杂假设；见cursor-adoption-round6-2026-09-06.json,,,,,,,38.3008,Cursor CLI - Composer 2.5 Fast
supergrok_heavy::grok-4.5,SuperGrok Heavy,subscription,grok-4.5,Grok 4.5,xAI,Grok 4.5 · SuperGrok Heavy,300.0,50.9,0.05894,0.357,0.1651,medium,full,由同套餐 grok-4.6 50.9 亿 × 1.0,维持同订阅额度假设50.9亿，尚无4.5独立面板实测；xAI API缓存价差不能直接映射订阅周池；与Cursor渠道分开,1556,grok-4.5,6.17,Grok 4.5,56,Grok 4.5 (high),64.09,Grok Build - Grok 4.5 (high)
supergrok::grok-4.5,SuperGrok,subscription,grok-4.5,Grok 4.5,xAI,Grok 4.5 · SuperGrok,30.0,5.09,0.05894,0.357,0.1651,medium,full,由同套餐 grok-4.6 5.09 亿 × 1.0,维持同订阅额度假设5.09亿，尚无4.5独立面板实测；xAI API缓存价差不能直接映射订阅周池；与Cursor渠道分开,1556,grok-4.5,6.17,Grok 4.5,56,Grok 4.5 (high),64.09,Grok Build - Grok 4.5 (high)
minimax_token_plus_cn::minimax-m2.7,MiniMax Token Plan Plus,subscription,minimax-m2.7,MiniMax M2.7,MiniMax,MiniMax M2.7 · MiniMax Token Plan Plus,7.23,6.0,0.01205,0.0692,0.1741,medium,full,由同套餐 minimax-m3 6.0 亿 × 1.0,与 M3 同价；汇率1 USD=6.7787 CNY（2026-09-04 人民币汇率中间价），旧汇率7.2；人民币月费除以汇率换美元；https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html,1398,minimax-m2.7,-10.6,Minimax M2.7,,,,
minimax_token_plus_global::minimax-m2.7,MiniMax Token Plan Plus (Global),subscription,minimax-m2.7,MiniMax M2.7,MiniMax,MiniMax M2.7 · MiniMax Token Plan Plus (Global),22.0,17.0,0.01294,0.0692,0.1869,medium,full,由同套餐 minimax-m3 17.0 亿 × 1.0,与 M3 同价,1398,minimax-m2.7,-10.6,Minimax M2.7,,,,
cursor_ultra_composer_fast::composer-2.5,Cursor Ultra (Composer Fast),subscription,composer-2.5,Composer 2.5,Cursor,Composer 2.5 · Cursor Ultra (Composer Fast),200.0,58.532,0.03417,0.2146,0.1592,medium,main,https://cursor.com/docs/models/cursor-composer-2-5；audit-round4-2026-09-05.json,新增Fast（产品默认）估算：缓存/输入/输出=0.5/3/15；扣费为Standard的2.8207×；沿用同套餐Grok标准基准64.2亿×0.91171385，不是实测；不改用户Grok Fast独立实测30.3亿；round6随标准基准联动，旧Fast额度91.171亿，促销/跨档混杂未剥离；见cursor-adoption-round6-2026-09-06.json,,,,,,,38.3008,Cursor CLI - Composer 2.5 Fast
cursor_pro_composer_fast::composer-2.5,Cursor Pro (Composer Fast),subscription,composer-2.5,Composer 2.5,Cursor,Composer 2.5 · Cursor Pro (Composer Fast),20.0,4.285,0.04667,0.2146,0.2175,medium,main,https://cursor.com/docs/models/cursor-composer-2-5；audit-round4-2026-09-05.json,新增Fast（产品默认）估算：缓存/输入/输出=0.5/3/15；扣费为Standard的2.8207×；沿用同套餐Grok标准基准4.7亿×0.91171385，不是实测；不改用户Grok Fast独立实测30.3亿,,,,,,,38.3008,Cursor CLI - Composer 2.5 Fast
cursor_pro_plus_composer_fast::composer-2.5,Cursor Pro+ (Composer Fast),subscription,composer-2.5,Composer 2.5,Cursor,Composer 2.5 · Cursor Pro+ (Composer Fast),60.0,15.609,0.03844,0.2146,0.1791,low,full,https://cursor.com/docs/models/cursor-composer-2-5；audit-round4-2026-09-05.json,新增Fast（产品默认）估算：缓存/输入/输出=0.5/3/15；扣费为Standard的2.8207×；沿用同套餐Grok标准基准17.12亿×0.91171385，不是实测；不改用户Grok Fast独立实测30.3亿；round6随标准基准联动，旧Fast额度16.502亿，促销/跨档混杂未剥离；见cursor-adoption-round6-2026-09-06.json,,,,,,,38.3008,Cursor CLI - Composer 2.5 Fast
deepseek_v4_flash_offpeak::deepseek-v4-flash,DeepSeek V4 Flash API 闲时,metered,deepseek-v4-flash,DeepSeek V4 Flash,DeepSeek,DeepSeek V4 Flash API 闲时,,,0.01392,0.0278,0.4999,high,main,api-docs.deepseek.com,标价 cached 0.007/in 0.22/out 0.66 × 实测 mix 97.5%/2.2%/0.4%,1580,deepseek-v4-flash-high,2.85,Deepseek V4 Flash (High) (20260731),52,DeepSeek V4 Flash 0731 (max),49.7576,Codex - DeepSeek V4 Flash 0731 (max)
deepseek_v4_flash_peak::deepseek-v4-flash,DeepSeek V4 Flash API 忙时,metered,deepseek-v4-flash,DeepSeek V4 Flash,DeepSeek,DeepSeek V4 Flash API 忙时,,,0.02785,0.0278,1.0002,high,main,api-docs.deepseek.com,标价 cached 0.014/in 0.44/out 1.32 × 实测 mix 97.5%/2.2%/0.4%,1580,deepseek-v4-flash-high,2.85,Deepseek V4 Flash (High) (20260731),52,DeepSeek V4 Flash 0731 (max),49.7576,Codex - DeepSeek V4 Flash 0731 (max)
deepseek_v4_pro_offpeak::deepseek-v4-pro,DeepSeek V4 Pro API 闲时,metered,deepseek-v4-pro,DeepSeek V4 Pro,DeepSeek,DeepSeek V4 Pro API 闲时,,,0.04274,0.0855,0.5,high,main,api-docs.deepseek.com,标价 cached 0.022/in 0.66/out 1.98 × 实测 mix 97.5%/2.2%/0.4%,1582,deepseek-v4-pro-high-20260813,5.91,DeepSeek V4 Pro (High) (0813),53,DeepSeek V4 Pro 0813 (max),42.7797,Codex - DeepSeek V4 Pro 0813 (max)
deepseek_v4_pro_peak::deepseek-v4-pro,DeepSeek V4 Pro API 忙时,metered,deepseek-v4-pro,DeepSeek V4 Pro,DeepSeek,DeepSeek V4 Pro API 忙时,,,0.08549,0.0855,1.0001,high,main,api-docs.deepseek.com,标价 cached 0.044/in 1.32/out 3.96 × 实测 mix 97.5%/2.2%/0.4%,1582,deepseek-v4-pro-high-20260813,5.91,DeepSeek V4 Pro (High) (0813),53,DeepSeek V4 Pro 0813 (max),42.7797,Codex - DeepSeek V4 Pro 0813 (max)
openai_sol_api::gpt-5.6-sol,GPT-5.6 Sol API,metered,gpt-5.6-sol,GPT 5.6 Sol,OpenAI,GPT-5.6 Sol API,,,0.54723,0.5472,1.0,high,main,developers.openai.com,标价 cached 0.4/in 4.0/out 20.0 × 实测 mix 97.5%/2.2%/0.4%,1617,gpt-5.6-sol-xhigh (codex-harness),9.49,GPT 5.6 Sol (xHigh),61,GPT-5.6 Sol (max),65.0524,Codex - GPT-5.6 Sol (max)
xai_grok46_api::grok-4.6,Grok 4.6 API (<200k),metered,grok-4.6,Grok 4.6,xAI,Grok 4.6 API (<200k),,,0.55193,0.5519,1.0,high,main,docs.x.ai,标价 cached 0.5/in 2.0/out 6.0 × 实测 mix 97.5%/2.2%/0.4%,1625,grok-4.6-high,5.33,Grok 4.6 (xHigh),61,Grok 4.6 (high),,
